,sofifa_id,short_name,player_positions,overall_2020,overall,age,pace,shooting,passing,dribbling,defending,physic
126,198176,S. de Vrij,DF,84,84,27,66,41,62,68,86,74
127,201995,Felipe Anderson,CI,84,84,26,89,77,79,89,55,61
128,120533,Pepe,DF,84,85,36,67,51,57,60,85,85
129,162347,João Moutinho,CM,84,83,32,56,75,85,82,71,67
130,167628,S. Ruffier,GK,84,84,32,0,0,0,0,0,0
131,168435,S. Sirigu,GK,84,84,32,0,0,0,0,0,0
132,171877,M. Hamšík,CM,84,84,31,69,77,83,83,72,69
133,172879,Sokratis,DF,84,84,31,72,51,52,60,84,83
134,176266,Lucas Leiva,CM,84,83,32,62,66,76,78,83,73
135,176635,M. Özil,CM,84,84,30,70,72,86,84,24,56
136,177610,Javi Martínez,CM,84,85,30,48,55,69,63,86,83
137,177683,Y. Sommer,GK,84,84,30,0,0,0,0,0,0
138,180930,E. Džeko,ST,84,83,33,60,84,71,75,46,73
139,181291,G. Wijnaldum,CM,84,84,28,77,73,78,84,76,78
140,181458,I. Perišić,CI,84,84,30,84,80,78,82,62,77
141,181783,M. Mandžukić,ST,84,83,33,68,80,71,75,65,86
142,181872,A. Vidal,CM,84,85,32,67,79,80,78,85,86
143,183907,J. Boateng,DF,84,85,30,66,50,72,65,84,82
144,184432,Azpilicueta,LD,84,84,29,70,55,77,73,85,76
145,185020,José Callejón,CD,84,84,32,89,78,75,83,47,64
146,186942,I. Gündoğan,CM,84,84,28,66,74,84,84,72,71
147,187961,Paulinho,CM,84,84,30,72,81,77,80,78,85
148,188377,K. Walker,LD,84,84,29,91,63,76,77,81,81
149,190286,Canales,CM,84,83,28,78,79,83,81,51,66
150,190483,Douglas Costa,CI,84,84,28,94,73,79,91,43,61
151,197965,Pizzi,CD,84,84,29,77,77,84,81,63,68
152,199434,D. Tadić,CM,84,84,30,68,80,84,85,41,71
153,200647,J. Iličić,MP,84,84,31,70,84,84,85,43,67
154,204485,R. Mahrez,ED,84,84,28,84,78,79,89,38,59
155,205678,E. Višća,CD,84,83,29,88,79,79,83,47,64
156,207863,Felipe,DF,84,84,30,64,41,57,60,84,87
157,226271,Fabián,CM,83,83,23,65,78,78,83,74,69
158,210413,A. Romagnoli,DF,83,83,24,63,40,55,66,85,79
159,226226,G. Lo Celso,CM,83,82,23,77,78,82,85,65,72
160,231281,T. Alexander-Arnold,LD,83,82,20,80,62,82,78,78,70
161,232432,L. Jović,ST,83,83,21,77,82,68,81,29,74
162,205175,A. Milik,ST,83,83,25,69,85,64,76,39,74
163,211300,A. Martial,EI,83,83,23,89,81,72,86,41,71
164,212523,Anderson Talisca,CM,83,83,25,77,82,80,81,57,72
165,213331,J. Tah,DF,83,83,23,71,27,59,57,83,81
166,219683,C. Tolisso,CM,83,83,24,69,77,79,78,76,79
167,221087,Pau López,GK,83,82,24,0,0,0,0,0,0
168,224411,Gonçalo Guedes,CI,83,83,22,90,79,76,84,36,70
169,226110,N. Pépé,CD,83,82,24,91,81,75,85,33,67
170,229237,M. Akanji,DF,83,83,23,78,45,68,72,83,80
171,231677,M. Rashford,ST,83,83,21,92,82,73,84,45,77
172,203574,J. Stones,DF,83,83,25,68,36,70,72,84,77
173,210008,A. Rabiot,CM,83,83,24,73,74,79,80,77,80
174,210035,Grimaldo,LI,83,82,23,85,63,79,84,77,71
175,212188,T. Werner,ST,83,83,23,92,81,67,83,35,69
176,213565,T. Lemar,CI,83,83,23,83,76,82,85,59,67
177,220793,D. Sánchez,DF,83,83,23,74,45,57,66,83,81
178,220834,Marco Asensio,EI,83,83,23,81,80,82,84,43,62
179,200458,L. Digne,LI,83,83,25,78,69,79,79,80,76
180,202166,J. Draxler,CM,83,83,25,77,79,81,86,55,63
181,204935,J. Pickford,GK,83,83,25,0,0,0,0,0,0
182,208418,Y. Carrasco,CI,83,83,25,90,80,75,87,39,64
183,224179,Borja Iglesias,ST,83,82,26,67,83,63,76,35,82
184,192984,K. Casteels,GK,83,83,27,0,0,0,0,0,0
185,198717,W. Zaha,MP,83,82,26,91,76,72,88,27,74
186,200454,Paco Alcácer,ST,83,83,25,79,84,68,80,36,63
187,201153,Morata,ST,83,83,26,81,79,71,80,31,72
188,205693,S. Haller,ST,83,82,25,72,81,62,76,51,82
189,207566,William Carvalho,CM,83,83,27,42,57,77,74,79,85
190,212404,F. Bernardeschi,CD,83,83,25,81,75,81,87,60,66
191,217940,D. Djené,DF,83,82,27,72,37,61,61,83,79
192,188152,Oscar,CM,83,83,27,74,76,83,81,55,50
193,188943,K. Trapp,GK,83,83,28,0,0,0,0,0,0
194,198141,Bartra,DF,83,83,28,73,61,73,72,82,74
195,198950,Pablo Sarabia,CM,83,82,27,75,76,82,84,57,57
196,199987,J. Cillessen,GK,83,83,30,0,0,0,0,0,0
197,200949,Lucas Moura,MP,83,83,26,92,79,76,87,42,66
198,204970,F. Thauvin,ED,83,83,26,83,80,81,83,41,69
199,205498,Jorginho,CM,83,83,27,55,63,84,81,70,73
200,1179,G. Buffon,GK,83,84,41,0,0,0,0,0,0
201,5479,Casillas,GK,83,83,38,0,0,0,0,0,0
202,104389,R. Jarstein,GK,83,82,34,0,0,0,0,0,0
203,139720,V. Kompany,DF,83,83,33,50,53,65,64,84,79
204,157481,Raúl Albiol,DF,83,83,33,48,41,61,63,86,72
205,159261,F. Quagliarella,ST,83,82,36,69,89,75,80,30,65
206,163587,K. Schmeichel,GK,83,83,32,0,0,0,0,0,0
207,167397,Falcao,ST,83,83,33,65,82,69,77,43,72
208,168609,Miranda,DF,83,83,34,64,49,60,68,84,74
209,169416,C. Vela,ED,83,83,30,80,82,78,84,31,67
210,170481,E. Garay,DF,83,83,32,43,60,67,62,82,81
211,178005,Rui Patrício,GK,83,83,31,0,0,0,0,0,0
212,178518,R. Nainggolan,CM,83,83,31,72,79,78,83,83,82
213,178562,E. Banega,CM,83,82,31,61,73,84,82,77,70
214,179844,Diego Costa,ST,83,83,30,73,82,64,75,49,85
215,179846,S. Khedira,CM,83,83,32,51,74,78,77,80,80
216,179944,David Luiz,DF,83,83,32,61,65,74,70,82,77
217,183574,M. Kruse,MP,83,83,31,66,83,83,83,45,70
218,183711,J. Henderson,CM,83,83,29,64,70,83,77,78,80
219,184484,G. Sigurðsson,CM,83,83,29,56,81,84,80,57,69
220,186561,A. Ramsey,CM,83,83,28,68,77,79,80,68,74
221,190584,Illarramendi,CM,83,82,29,54,71,80,79,80,71
222,190815,D. Blind,CM,83,83,29,54,65,80,77,82,74
223,190941,L. Hrádecký,GK,83,83,29,0,0,0,0,0,0
224,192366,N. Otamendi,DF,83,83,31,56,57,63,59,83,78
225,193082,J. Cuadrado,CD,83,83,31,91,72,77,88,66,67
226,193474,I. Gueye,CM,83,83,29,73,59,70,78,85,78
227,195365,K. Kampl,CM,83,82,28,76,67,80,86,63,62
228,198329,Rodrigo,ST,83,83,28,90,80,74,82,44,70
229,199042,C. Aránguiz,CM,83,83,30,63,72,82,81,74,73
230,199451,W. Ben Yedder,ST,83,83,28,84,82,77,85,39,61
231,199845,F. Acerbi,DF,83,83,31,56,50,61,63,86,82
232,200888,Danilo Pereira,CM,83,83,27,65,63,72,74,82,85
233,216354,A. Kramarić,ST,83,83,28,73,85,73,85,30,71
234,230294,Louri Beretta,ST,83,83,27,81,84,62,72,33,75
235,230375,Josué Chiamulera,DF,83,82,27,80,43,56,64,85,77
236,230481,Ronaldo Cabrais,ED,83,83,27,87,77,83,84,35,72
237,230142,Oyarzabal,EI,82,81,22,75,82,79,83,39,61
238,229906,L. Bailey,EI,82,82,21,91,77,75,84,33,64
239,230666,Gabriel Jesus,ST,82,82,22,85,80,72,86,39,71
240,207410,M. Kovačić,CM,82,82,25,76,68,81,86,67,70
241,208596,A. Belotti,ST,82,82,25,77,81,57,77,41,82
242,212151,T. Strakosha,GK,82,82,24,0,0,0,0,0,0
243,220971,N. Keïta,CM,82,82,24,71,73,76,88,65,66
244,223959,L. Torreira,CM,82,82,23,75,67,77,80,81,75
245,224293,Rúben Neves,CM,82,81,22,62,74,83,76,70,73
246,225850,P. Kimpembe,DF,82,82,23,75,39,67,67,81,83
247,225953,S. Bergwijn,ED,82,82,21,89,75,76,85,40,73
248,226753,A. Onana,GK,82,82,23,0,0,0,0,0,0
249,227928,Nélson Semedo,LD,82,83,25,92,57,69,81,77,75
250,193105,A. Areola,GK,82,83,26,0,0,0,0,0,0
251,198009,M. Perin,GK,82,83,26,0,0,0,0,0,0
252,211320,D. Rugani,DF,82,82,24,64,39,55,64,85,74
253,214997,A. Correa,CD,82,82,24,83,80,75,86,54,65
254,216201,Iñaki Williams,ST,82,82,25,94,80,72,80,41,82
255,221992,H. Lozano,ED,82,82,23,93,76,73,83,41,66
256,227055,Gelson Martins,CD,82,82,24,95,71,74,86,47,61
257,200726,B. Lecomte,GK,82,82,28,0,0,0,0,0,0
258,209989,T. Partey,CM,82,82,26,73,72,77,77,79,84
259,211748,K. Demirbay,CM,82,82,25,67,74,82,84,64,70
260,197061,J. Matip,DF,82,82,27,61,46,68,67,83,76
261,202651,Suso,ED,82,82,25,78,76,83,87,33,53
262,204639,S. Savić,DF,82,82,28,55,35,54,56,84,72
263,205452,A. Rüdiger,DF,82,82,26,72,43,67,63,82,78
264,209960,Pacheco,GK,82,82,27,0,0,0,0,0,0
265,210243,Ricardo Pereira,LD,82,82,25,86,64,77,81,79,73
266,211256,N. Tagliafico,LI,82,82,26,81,57,72,76,80,81
267,223952,David Soria,GK,82,82,26,0,0,0,0,0,0
268,178750,Sergio Asenjo,GK,82,83,30,0,0,0,0,0,0
269,189575,Muniain,CM,82,82,26,80,72,77,87,51,58
270,192318,M. Götze,MP,82,84,27,71,78,85,86,56,70
271,193283,T. Delaney,CM,82,82,27,77,73,74,75,83,82
272,193698,O. Baumann,GK,82,82,29,0,0,0,0,0,0
273,195093,Willian José,ST,82,82,27,69,82,68,75,40,81
274,199564,Sergi Roberto,LD,82,82,27,78,63,81,78,77,73
275,200536,N. Schulz,LI,82,82,26,90,52,76,80,74,76
276,200610,K. Volland,ST,82,82,26,76,84,79,79,41,83
277,200724,Nacho Fernández,DF,82,83,29,74,37,66,64,81,79
278,201305,Gabriel Paulista,DF,82,82,28,71,49,69,65,83,81
279,202562,J. Roussillon,LI,82,82,26,89,65,76,80,78,78
280,203263,H. Maguire,DF,82,82,26,50,53,64,69,81,84
281,203486,T. Hazard,CD,82,82,26,82,77,80,86,47,64
282,208448,E. Forsberg,CM,82,82,27,70,71,81,83,33,62
283,208574,F. Kostić,CI,82,82,26,87,76,77,81,67,78
284,216409,M. Politano,CD,82,82,25,84,77,78,84,42,57
285,216547,Rafa,CI,82,82,26,93,71,74,86,50,52
286,24630,Pepe Reina,GK,82,82,36,0,0,0,0,0,0
287,53302,D. De Rossi,CM,82,82,35,59,64,73,69,85,77
288,106231,Aduriz,ST,82,83,38,61,82,64,75,49,74
289,146536,Jesús Navas,CD,82,82,33,87,69,77,83,69,53
290,146562,Santi Cazorla,CM,82,82,34,56,73,85,83,65,58
291,156519,H. Herrera,CM,82,82,29,72,75,75,76,78,81
292,158963,L. Biglia,CM,82,82,33,55,63,81,81,77,68
293,164835,L. Fabiański,GK,82,82,34,0,0,0,0,0,0
294,168354,E. Viviano,GK,82,82,33,0,0,0,0,0,0
295,178088,Juan Mata,CM,82,82,31,62,74,83,83,36,47
296,178509,O. Giroud,ST,82,82,32,46,81,71,72,42,79
297,179645,S. Kjær,DF,82,82,30,65,55,63,55,81,78
298,180403,Willian,ED,82,82,30,85,78,80,85,49,60
299,181786,V. Ćorluka,DF,82,81,33,58,49,65,67,81,82
300,184200,M. Arnautović,ST,82,82,30,80,79,77,82,47,82
301,184941,A. Sánchez,EI,82,83,30,81,78,77,85,44,73
302,184942,Giuliano,CM,82,82,29,81,77,79,83,46,75
303,185103,A. Kolarov,LI,82,82,33,69,74,81,76,82,79
304,186627,M. Balotelli,ST,82,82,28,76,82,73,79,24,76
305,187754,Marlos,CD,82,82,31,83,78,79,86,46,73
306,188803,Taison,CM,82,82,31,92,79,75,86,47,69
307,189068,B. Dost,ST,82,82,30,50,82,57,66,45,80
308,189125,G. Bonaventura,CM,82,82,29,73,77,82,82,72,69
309,189505,Pedro,ED,82,82,31,75,77,77,84,43,56
310,189805,L. de Jong,ST,82,82,28,56,79,71,69,51,78
311,190813,S. El Shaarawy,EI,82,81,26,87,78,71,84,42,60
312,191740,Ander Herrera,CM,82,83,29,70,72,78,80,82,77
313,193348,X. Shaqiri,ED,82,82,27,80,77,81,85,46,69
314,193525,Mário Fernandes,LD,82,82,28,82,60,74,79,81,79
315,197655,S. Coates,DF,82,82,28,54,43,55,59,83,85
316,198951,C. Bakambu,ST,82,82,28,90,81,72,80,35,76
317,202371,T. Meunier,LD,82,82,27,79,75,77,75,78,84
318,202857,K. Bellarabi,ED,82,82,29,92,76,74,85,34,71
319,207494,J. Lingard,CM,82,82,26,80,78,76,83,58,72
320,208808,Q. Promes,EI,82,82,27,91,79,79,83,40,67
321,208830,J. Vardy,ST,82,82,32,88,81,65,74,55,75
322,215333,D. Zapata,ST,82,82,28,71,81,56,76,37,83
323,216475,Morales,ST,82,82,31,89,81,76,85,58,69
324,230168,Raphaelito Anjos,GK,82,82,31,0,0,0,0,0,0
325,230225,Juiano Mestres,DF,82,81,35,71,61,57,62,82,80
326,230258,Rosberto Dourado,CM,82,82,31,81,57,74,77,82,74
327,245309,E. Schetino,DF,82,79,27,80,43,56,65,83,76
328,245313,J. Sildero,CM,82,80,27,81,77,81,82,40,71
329,231478,L. Martínez,ST,81,81,21,81,77,68,82,40,83
330,234906,H. Aouar,CM,81,81,21,79,71,79,83,66,67
331,235569,T. Ndombele,CM,81,81,22,80,65,78,87,70,78
332,240130,Éder Militão,DF,81,81,21,79,50,66,71,81,81
333,205659,A. Cragno,GK,81,81,25,0,0,0,0,0,0
334,221363,D. van de Beek,CM,81,81,22,71,78,77,79,71,79
335,221660,V. Lindelöf,DF,81,81,24,74,50,72,72,82,78
336,222509,Dani Ceballos,CM,81,81,22,69,67,79,84,68,68
337,226456,Pablo Fornals,CM,81,81,23,67,76,79,80,71,68
338,208333,E. Can,CM,81,82,25,70,68,77,79,81,84
339,211688,Gayà,LI,81,81,24,85,61,77,80,75,69
340,236632,David Neres,EI,81,80,22,87,73,73,87,36,65
341,210406,P. Zieliński,CM,81,81,25,81,72,81,84,70,61
342,215316,G. Rulli,GK,81,81,27,0,0,0,0,0,0
343,199503,G. Xhaka,CM,81,81,26,51,67,81,71,69,78
344,201400,Rafinha,CM,81,81,26,67,76,79,84,68,60
345,201455,G. Kondogbia,CM,81,81,26,69,73,76,79,78,88
346,204923,M. Sabitzer,CM,81,81,25,74,80,76,80,57,77
347,205988,L. Shaw,LI,81,81,23,82,54,75,80,80,78
348,207877,J. Martínez,ST,81,81,26,89,79,61,79,25,73
349,208135,A. Doucouré,CM,81,81,26,69,74,73,77,79,82
350,226790,W. Ndidi,CM,81,81,22,71,62,67,74,83,82
351,200316,T. Horn,GK,81,81,26,0,0,0,0,0,0
352,204638,W. Orban,DF,81,81,26,52,37,52,56,82,80
353,206467,A. Plea,ST,81,81,26,76,81,76,78,39,74
354,207791,Y. Poulsen,ST,81,81,25,83,74,67,75,56,82
355,207807,R. Fraser,CI,81,81,25,90,73,78,83,46,61
356,207862,M. Ginter,DF,81,81,25,62,58,69,65,82,77
357,209889,R. Guerreiro,CI,81,81,25,73,75,82,85,66,57
358,212814,João Mário,CM,81,81,26,69,69,80,83,64,67
359,213874,Thiago Mendes,CM,81,81,27,78,70,78,79,77,74
360,216145,A. Izzo,DF,81,81,27,68,33,48,65,83,75
361,216352,M. Brozović,CM,81,81,26,64,73,79,80,76,73
362,190544,A. Ljajić,CM,81,81,27,78,75,80,84,37,61
363,193165,J. Corona,CD,81,81,26,83,70,75,88,62,54
364,199575,Jordi Masip,GK,81,81,30,0,0,0,0,0,0
365,204120,T. Vaclík,GK,81,81,30,0,0,0,0,0,0
366,206304,L. Milivojević,CM,81,81,28,55,67,76,67,78,84
367,208093,Gerard Moreno,ST,81,81,27,76,79,66,78,45,69
368,223689,W. Weghorst,ST,81,81,26,63,80,59,69,39,83
369,20775,Quaresma,CD,81,81,35,77,73,82,86,24,63
370,112316,J. Mathieu,DF,81,81,35,68,64,73,62,83,81
371,138412,J. Milner,CM,81,81,33,61,70,82,77,77,78
372,142707,L. López,ST,81,80,36,75,82,73,80,50,70
373,159145,B. Gomis,ST,81,81,33,70,82,66,75,36,74
374,162240,M. Dembélé,CM,81,81,31,73,68,77,87,77,80
375,162895,Cesc Fàbregas,CM,81,82,32,53,73,87,77,60,56
376,163489,A. Consigli,GK,81,81,32,0,0,0,0,0,0
377,165229,L. Koscielny,DF,81,81,33,60,43,63,64,82,74
378,168530,Jardel,DF,81,80,33,55,42,54,53,82,79
379,169195,Renato Augusto,CM,81,81,31,67,73,79,79,71,72
380,171791,José Fonte,DF,81,81,35,36,38,54,60,81,76
381,171897,A. Guardado,CM,81,81,32,68,68,81,82,72,68
382,173771,L. Piszczek,LD,81,82,34,77,68,75,73,82,78
383,176600,K. Gameiro,ST,81,81,32,85,79,74,77,43,67
384,177388,D. Payet,CM,81,81,32,71,77,82,81,38,67
385,177600,Beñat,CM,81,81,32,49,73,84,74,67,71
386,178086,Adán,GK,81,81,32,0,0,0,0,0,0
387,179784,B. Höwedes,DF,81,81,31,52,48,62,63,82,74
388,182494,F. Muslera,GK,81,81,33,0,0,0,0,0,0
389,183394,M. Sissoko,CM,81,82,29,80,70,78,79,79,89
390,183498,M. Parolo,CM,81,81,34,64,76,76,75,79,79
391,184134,Fernando,CM,81,81,31,61,62,71,70,81,82
392,184144,N. Gaitán,CM,81,81,31,78,72,80,82,41,58
393,184431,S. Giovinco,MP,81,81,32,81,79,79,87,27,56
394,185221,Luiz Gustavo,CM,81,81,31,58,60,69,69,80,82
395,188829,N. Nkoulou,DF,81,81,29,70,44,64,70,82,74
396,191202,N. Matić,CM,81,81,30,48,68,77,72,80,78
397,192638,Marcos Alonso,LI,81,81,28,66,73,79,77,79,79
398,192883,H. Mkhitaryan,CD,81,81,30,78,76,78,83,55,66
399,194022,André Almeida,LD,81,81,28,68,63,76,75,82,82
400,203551,A. Florenzi,LD,81,81,28,82,77,76,80,77,73
401,204399,E. Zahavi,MP,81,80,31,75,81,73,82,39,70
402,207471,F. Vázquez,CM,81,81,30,56,78,80,81,58,72
403,208618,Lucas Vázquez,ED,81,81,28,82,73,79,82,58,69
404,216194,Dani García,CM,81,81,29,42,69,73,75,78,79
405,224334,M. Acuña,EI,81,81,27,76,74,81,86,76,84
406,230271,Laure Santeiro,CM,81,81,31,82,72,77,83,26,51
407,245299,J. Frendado,DF,81,79,35,71,61,57,62,82,75
408,245304,S. Ardero,CM,81,79,31,82,72,77,83,26,51
409,245305,L. Dálves,ST,81,78,27,80,82,60,71,34,75
410,251700,S. Mandíquez,ST,81,80,30,80,80,56,74,29,80
411,242444,João Félix,MP,80,81,19,82,80,74,81,40,70
412,224232,N. Barella,CM,80,81,22,76,66,78,80,74,69
413,225100,J. Gomez,DF,80,80,22,81,30,64,68,79,76
414,213661,A. Christensen,DF,80,80,23,68,31,63,68,82,72
415,215698,M. Maignan,GK,80,80,23,0,0,0,0,0,0
416,216393,Y. Tielemans,CM,80,80,22,63,78,82,78,68,67
