,sofifa_id,short_name,player_positions,overall_15,overall_16,overall_17,overall_18,overall_19,overall_20,overall,age,pace,shooting,passing,dribbling,defending,physic,evol
54,198219,L. Insigne,MP,84,84,86,86,87,87,87,28,89,79,85,91,35,47,0
55,222492,L. Sané,EI,84,84,86,86,87,86,86,23,95,81,79,86,38,70,0
56,207865,Marquinhos,DF,84,84,86,86,86,86,86,25,74,41,73,70,86,77,0
57,232363,M. Škriniar,DF,84,84,86,86,86,86,85,24,69,41,59,66,87,82,-1
58,199556,M. Verratti,CM,84,84,86,86,86,86,86,26,65,60,84,90,79,66,0
59,205600,S. Umtiti,DF,84,84,85,86,86,86,86,25,69,63,69,69,86,82,0
60,186153,W. Szczęsny,GK,84,84,85,86,86,86,87,29,0,0,0,0,0,0,1
61,212622,J. Kimmich,LD,84,84,85,86,86,86,85,24,72,69,86,84,79,78,-1
62,197781,Isco,CM,84,84,85,86,86,86,86,27,71,77,83,91,59,60,0
63,201942,Roberto Firmino,MP,83,84,85,86,86,86,86,27,77,82,80,87,61,78,0
64,168651,I. Rakitić,CM,83,84,85,86,86,86,86,31,62,81,86,81,74,70,0
65,180206,M. Pjanić,CM,83,84,85,86,86,86,86,29,68,68,87,85,75,67,0
66,183898,A. Di María,ED,83,84,85,86,86,86,86,31,84,79,84,87,48,68,0
67,184344,L. Bonucci,DF,83,84,85,86,86,86,86,32,58,58,69,70,87,79,0
68,189242,Coutinho,EI,83,84,85,85,86,86,86,27,79,80,84,90,52,64,0
69,189513,Parejo,CM,83,84,85,85,86,86,85,30,41,80,88,79,70,69,-1
70,189596,T. Müller,CM,83,84,85,85,86,86,86,29,72,83,79,78,55,71,0
71,192387,C. Immobile,ST,83,84,85,85,86,86,85,29,80,85,63,81,39,76,-1
72,193301,A. Lacazette,ST,83,84,85,85,86,86,85,28,82,85,75,86,40,74,-1
73,235243,M. de Ligt,DF,83,84,85,85,86,85,85,19,67,58,66,68,83,84,0
74,230621,G. Donnarumma,GK,83,84,85,85,86,85,84,20,0,0,0,0,0,0,-1
75,228702,F. de Jong,CM,83,84,85,85,86,85,86,22,79,64,84,87,76,76,1
76,201535,R. Varane,DF,83,84,85,85,86,85,86,26,83,45,62,63,85,80,1
77,212190,N. Süle,DF,83,84,85,85,86,85,85,23,72,42,55,50,86,82,0
78,223848,S. Milinković-Savić,CM,83,84,85,85,85,85,85,24,67,79,80,83,77,84,0
79,231866,Rodri,CM,83,84,85,85,85,85,84,23,67,68,77,77,82,80,-1
80,208421,Saúl,CM,83,84,85,85,85,85,84,24,70,78,79,81,78,78,-1
81,209499,Fabinho,CM,83,84,85,85,85,85,85,25,68,69,78,77,85,83,0
82,216267,A. Robertson,LI,83,84,85,85,85,85,84,25,85,62,77,79,80,75,-1
83,216460,J. Giménez,DF,83,83,84,85,85,85,85,24,69,45,52,54,86,82,0
84,220440,C. Lenglet,DF,83,83,84,85,85,85,85,24,75,45,68,65,86,80,0
85,212198,Bruno Fernandes,CM,83,83,84,85,85,85,84,24,77,83,87,85,65,74,-1
86,199482,A. Lopes,GK,83,83,84,85,85,85,85,28,0,0,0,0,0,0,0
87,185122,P. Gulácsi,GK,83,83,84,85,85,85,85,29,0,0,0,0,0,0,0
88,189117,R. Bürki,GK,83,83,84,85,85,85,85,28,0,0,0,0,0,0,0
89,192505,R. Lukaku,ST,83,83,84,85,85,85,85,26,75,82,73,72,35,84,0
90,192774,K. Manolas,DF,83,83,84,85,85,85,85,28,82,25,42,60,86,81,0
91,194404,Neto,GK,83,83,84,84,85,85,85,29,0,0,0,0,0,0,0
92,197445,D. Alaba,LI,83,83,84,84,85,85,86,27,83,73,81,80,80,76,1
93,201399,M. Icardi,ST,83,83,84,84,85,85,85,26,75,84,61,77,36,69,0
94,204963,Carvajal,LD,83,83,84,84,85,85,86,27,81,47,78,81,82,80,1
95,208670,H. Ziyech,CM,83,83,84,84,85,85,84,26,80,75,86,83,50,66,-1
96,41236,Z. Ibrahimović,ST,83,83,84,84,85,85,85,37,56,88,77,77,34,78,0
97,143076,A. Gómez,CM,83,83,84,84,85,85,85,31,89,78,81,86,39,55,0
98,167664,G. Higuaín,ST,83,83,84,84,85,85,86,31,63,85,71,80,31,71,1
99,170890,B. Matuidi,CM,83,83,84,84,85,85,85,32,75,66,76,78,83,81,0
100,173731,G. Bale,ED,82,83,84,84,85,85,86,29,91,87,82,82,58,76,1
101,176676,Marcelo,LI,82,83,84,84,85,85,86,31,81,74,83,89,77,79,1
102,177413,A. Witsel,CM,82,83,84,84,85,85,85,30,73,74,80,79,83,81,0
103,191043,Alex Sandro,LI,82,83,84,84,85,85,85,28,83,65,77,80,82,82,0
104,192629,Iago Aspas,ST,82,83,84,84,85,85,84,31,78,84,77,85,35,64,-1
105,193747,Koke,CD,82,83,84,84,85,85,85,27,68,75,86,82,74,79,0
106,198710,J. Rodríguez,CM,82,83,84,84,85,85,86,27,55,86,87,86,50,63,1
107,199914,Allan,CM,82,83,84,84,85,85,84,28,75,71,78,84,85,84,-1
108,233049,J. Sancho,CD,82,83,84,84,85,84,83,19,88,72,77,90,36,60,-1
109,235790,K. Havertz,CM,82,83,84,84,85,84,82,20,84,78,79,84,44,65,-2
110,231443,O. Dembélé,ED,82,83,84,84,85,84,84,22,93,79,80,87,36,57,0
111,206585,Kepa,GK,82,83,84,84,84,84,83,24,0,0,0,0,0,0,-1
112,210514,João Cancelo,LD,82,83,84,84,84,84,84,25,90,65,80,84,78,71,0
113,211117,D. Alli,CM,82,83,84,84,84,84,84,23,72,81,79,82,71,79,0
114,220814,L. Hernández,DF,82,83,84,84,84,84,85,23,81,54,70,71,83,82,1
115,230658,Arthur,CM,82,83,84,84,84,84,83,22,69,71,81,86,73,70,-1
116,202556,M. Depay,MP,82,83,84,84,84,84,84,25,87,80,81,84,32,78,0
117,209658,L. Goretzka,CM,82,83,84,84,84,84,85,24,81,77,80,81,75,79,1
118,212194,J. Brandt,CM,82,83,84,84,84,84,84,23,82,78,81,85,40,68,0
119,213345,K. Coman,CI,82,83,84,84,84,84,84,23,92,76,77,87,29,60,0
120,206113,S. Gnabry,CD,82,83,84,84,84,84,83,23,90,82,75,86,43,69,-1
121,216594,N. Fekir,CM,82,83,84,84,84,84,84,25,78,82,81,88,33,77,0
122,192563,B. Leno,GK,82,82,84,84,84,84,84,27,0,0,0,0,0,0,0
123,198706,Luis Alberto,CM,82,82,84,84,84,84,83,26,71,76,84,85,49,59,-1
124,212462,Alex Telles,LI,82,82,84,84,84,84,84,26,85,72,84,81,80,76,0
125,236583,J. Pavlenka,GK,82,82,84,84,84,84,83,27,0,0,0,0,0,0,-1
126,198176,S. de Vrij,DF,82,82,84,83,84,84,84,27,66,41,62,68,86,74,0
127,201995,Felipe Anderson,CI,82,82,84,83,84,84,84,26,89,77,79,89,55,61,0
128,120533,Pepe,DF,82,82,84,83,84,84,85,36,67,51,57,60,85,85,1
129,162347,João Moutinho,CM,82,82,83,83,84,84,83,32,56,75,85,82,71,67,-1
130,167628,S. Ruffier,GK,82,82,83,83,84,84,84,32,0,0,0,0,0,0,0
131,168435,S. Sirigu,GK,82,82,83,83,84,84,84,32,0,0,0,0,0,0,0
132,171877,M. Hamšík,CM,82,82,83,83,84,84,84,31,69,77,83,83,72,69,0
133,172879,Sokratis,DF,82,82,83,83,84,84,84,31,72,51,52,60,84,83,0
134,176266,Lucas Leiva,CM,82,82,83,83,84,84,83,32,62,66,76,78,83,73,-1
135,176635,M. Özil,CM,82,82,83,83,84,84,84,30,70,72,86,84,24,56,0
136,177610,Javi Martínez,CM,82,82,83,83,84,84,85,30,48,55,69,63,86,83,1
137,177683,Y. Sommer,GK,82,82,83,83,84,84,84,30,0,0,0,0,0,0,0
138,180930,E. Džeko,ST,82,82,83,83,84,84,83,33,60,84,71,75,46,73,-1
139,181291,G. Wijnaldum,CM,82,82,83,83,84,84,84,28,77,73,78,84,76,78,0
140,181458,I. Perišić,CI,82,82,83,83,84,84,84,30,84,80,78,82,62,77,0
141,181783,M. Mandžukić,ST,82,82,83,83,84,84,83,33,68,80,71,75,65,86,-1
142,181872,A. Vidal,CM,82,82,83,83,84,84,85,32,67,79,80,78,85,86,1
143,183907,J. Boateng,DF,82,82,83,83,84,84,85,30,66,50,72,65,84,82,1
144,184432,Azpilicueta,LD,82,82,83,83,84,84,84,29,70,55,77,73,85,76,0
145,185020,José Callejón,CD,82,82,83,83,84,84,84,32,89,78,75,83,47,64,0
146,186942,I. Gündoğan,CM,82,82,83,83,84,84,84,28,66,74,84,84,72,71,0
147,187961,Paulinho,CM,82,82,83,83,84,84,84,30,72,81,77,80,78,85,0
148,188377,K. Walker,LD,82,82,83,83,84,84,84,29,91,63,76,77,81,81,0
149,190286,Canales,CM,82,82,83,83,84,84,83,28,78,79,83,81,51,66,-1
150,190483,Douglas Costa,CI,82,82,83,83,84,84,84,28,94,73,79,91,43,61,0
151,197965,Pizzi,CD,81,82,83,83,84,84,84,29,77,77,84,81,63,68,0
152,199434,D. Tadić,CM,81,82,83,83,84,84,84,30,68,80,84,85,41,71,0
153,200647,J. Iličić,MP,81,82,83,83,84,84,84,31,70,84,84,85,43,67,0
154,204485,R. Mahrez,ED,81,82,83,83,84,84,84,28,84,78,79,89,38,59,0
155,205678,E. Višća,CD,81,82,83,83,84,84,83,29,88,79,79,83,47,64,-1
156,207863,Felipe,DF,81,82,83,83,83,84,84,30,64,41,57,60,84,87,0
157,226271,Fabián,CM,81,82,83,83,83,83,83,23,65,78,78,83,74,69,0
158,210413,A. Romagnoli,DF,81,82,83,83,83,83,83,24,63,40,55,66,85,79,0
159,226226,G. Lo Celso,CM,81,82,83,83,83,83,82,23,77,78,82,85,65,72,-1
160,231281,T. Alexander-Arnold,LD,81,82,83,83,83,83,82,20,80,62,82,78,78,70,-1
161,232432,L. Jović,ST,81,82,83,83,83,83,83,21,77,82,68,81,29,74,0
162,205175,A. Milik,ST,81,82,83,83,83,83,83,25,69,85,64,76,39,74,0
163,211300,A. Martial,EI,81,82,83,83,83,83,83,23,89,81,72,86,41,71,0
164,212523,Anderson Talisca,CM,81,82,83,83,83,83,83,25,77,82,80,81,57,72,0
165,213331,J. Tah,DF,81,82,83,83,83,83,83,23,71,27,59,57,83,81,0
166,219683,C. Tolisso,CM,81,82,83,83,83,83,83,24,69,77,79,78,76,79,0
167,221087,Pau López,GK,81,82,83,83,83,83,82,24,0,0,0,0,0,0,-1
168,224411,Gonçalo Guedes,CI,81,82,83,83,83,83,83,22,90,79,76,84,36,70,0
169,226110,N. Pépé,CD,81,82,83,83,83,83,82,24,91,81,75,85,33,67,-1
170,229237,M. Akanji,DF,81,82,83,83,83,83,83,23,78,45,68,72,83,80,0
171,231677,M. Rashford,ST,81,82,83,83,83,83,83,21,92,82,73,84,45,77,0
172,203574,J. Stones,DF,81,82,83,83,83,83,83,25,68,36,70,72,84,77,0
173,210008,A. Rabiot,CM,81,82,83,83,83,83,83,24,73,74,79,80,77,80,0
174,210035,Grimaldo,LI,81,82,83,83,83,83,82,23,85,63,79,84,77,71,-1
175,212188,T. Werner,ST,81,82,83,83,83,83,83,23,92,81,67,83,35,69,0
176,213565,T. Lemar,CI,81,81,83,83,83,83,83,23,83,76,82,85,59,67,0
177,220793,D. Sánchez,DF,81,81,83,83,83,83,83,23,74,45,57,66,83,81,0
178,220834,Marco Asensio,EI,81,81,83,83,83,83,83,23,81,80,82,84,43,62,0
179,200458,L. Digne,LI,81,81,83,83,83,83,83,25,78,69,79,79,80,76,0
180,202166,J. Draxler,CM,81,81,83,83,83,83,83,25,77,79,81,86,55,63,0
181,204935,J. Pickford,GK,81,81,83,83,83,83,83,25,0,0,0,0,0,0,0
182,208418,Y. Carrasco,CI,81,81,83,83,83,83,83,25,90,80,75,87,39,64,0
183,224179,Borja Iglesias,ST,81,81,83,83,83,83,82,26,67,83,63,76,35,82,-1
184,192984,K. Casteels,GK,81,81,83,83,83,83,83,27,0,0,0,0,0,0,0
185,198717,W. Zaha,MP,81,81,83,83,83,83,82,26,91,76,72,88,27,74,-1
186,200454,Paco Alcácer,ST,81,81,83,83,83,83,83,25,79,84,68,80,36,63,0
187,201153,Morata,ST,81,81,83,83,83,83,83,26,81,79,71,80,31,72,0
188,205693,S. Haller,ST,81,81,83,83,83,83,82,25,72,81,62,76,51,82,-1
189,207566,William Carvalho,CM,81,81,83,83,83,83,83,27,42,57,77,74,79,85,0
190,212404,F. Bernardeschi,CD,81,81,82,83,83,83,83,25,81,75,81,87,60,66,0
191,217940,D. Djené,DF,81,81,82,83,83,83,82,27,72,37,61,61,83,79,-1
192,188152,Oscar,CM,81,81,82,83,83,83,83,27,74,76,83,81,55,50,0
193,188943,K. Trapp,GK,81,81,82,83,83,83,83,28,0,0,0,0,0,0,0
194,198141,Bartra,DF,81,81,82,83,83,83,83,28,73,61,73,72,82,74,0
195,198950,Pablo Sarabia,CM,81,81,82,83,83,83,82,27,75,76,82,84,57,57,-1
196,199987,J. Cillessen,GK,81,81,82,82,83,83,83,30,0,0,0,0,0,0,0
197,200949,Lucas Moura,MP,81,81,82,82,83,83,83,26,92,79,76,87,42,66,0
198,204970,F. Thauvin,ED,81,81,82,82,83,83,83,26,83,80,81,83,41,69,0
199,205498,Jorginho,CM,81,81,82,82,83,83,83,27,55,63,84,81,70,73,0
200,1179,G. Buffon,GK,81,81,82,82,83,83,84,41,0,0,0,0,0,0,1
201,5479,Casillas,GK,81,81,82,82,83,83,83,38,0,0,0,0,0,0,0
202,104389,R. Jarstein,GK,81,81,82,82,83,83,82,34,0,0,0,0,0,0,-1
203,139720,V. Kompany,DF,81,81,82,82,83,83,83,33,50,53,65,64,84,79,0
204,157481,Raúl Albiol,DF,81,81,82,82,83,83,83,33,48,41,61,63,86,72,0
205,159261,F. Quagliarella,ST,81,81,82,82,83,83,82,36,69,89,75,80,30,65,-1
206,163587,K. Schmeichel,GK,81,81,82,82,83,83,83,32,0,0,0,0,0,0,0
207,167397,Falcao,ST,80,81,82,82,83,83,83,33,65,82,69,77,43,72,0
208,168609,Miranda,DF,80,81,82,82,83,83,83,34,64,49,60,68,84,74,0
209,169416,C. Vela,ED,80,81,82,82,83,83,83,30,80,82,78,84,31,67,0
210,170481,E. Garay,DF,80,81,82,82,83,83,83,32,43,60,67,62,82,81,0
211,178005,Rui Patrício,GK,80,81,82,82,83,83,83,31,0,0,0,0,0,0,0
212,178518,R. Nainggolan,CM,80,81,82,82,83,83,83,31,72,79,78,83,83,82,0
213,178562,E. Banega,CM,80,81,82,82,83,83,82,31,61,73,84,82,77,70,-1
214,179844,Diego Costa,ST,80,81,82,82,82,83,83,30,73,82,64,75,49,85,0
215,179846,S. Khedira,CM,80,81,82,82,82,83,83,32,51,74,78,77,80,80,0
216,179944,David Luiz,DF,80,81,82,82,82,83,83,32,61,65,74,70,82,77,0
217,183574,M. Kruse,MP,80,81,82,82,82,83,83,31,66,83,83,83,45,70,0
218,183711,J. Henderson,CM,80,81,82,82,82,83,83,29,64,70,83,77,78,80,0
219,184484,G. Sigurðsson,CM,80,81,82,82,82,83,83,29,56,81,84,80,57,69,0
220,186561,A. Ramsey,CM,80,81,82,82,82,83,83,28,68,77,79,80,68,74,0
221,190584,Illarramendi,CM,80,81,82,82,82,83,82,29,54,71,80,79,80,71,-1
222,190815,D. Blind,CM,80,81,82,82,82,83,83,29,54,65,80,77,82,74,0
223,190941,L. Hrádecký,GK,80,81,82,82,82,83,83,29,0,0,0,0,0,0,0
224,192366,N. Otamendi,DF,80,81,82,82,82,83,83,31,56,57,63,59,83,78,0
225,193082,J. Cuadrado,CD,80,81,82,82,82,83,83,31,91,72,77,88,66,67,0
226,193474,I. Gueye,CM,80,81,82,82,82,83,83,29,73,59,70,78,85,78,0
227,195365,K. Kampl,CM,80,81,82,82,82,83,82,28,76,67,80,86,63,62,-1
228,198329,Rodrigo,ST,80,81,82,82,82,83,83,28,90,80,74,82,44,70,0
229,199042,C. Aránguiz,CM,80,81,82,82,82,83,83,30,63,72,82,81,74,73,0
230,199451,W. Ben Yedder,ST,80,81,82,82,82,83,83,28,84,82,77,85,39,61,0
231,199845,F. Acerbi,DF,80,81,82,82,82,83,83,31,56,50,61,63,86,82,0
232,200888,Danilo Pereira,CM,80,81,82,82,82,83,83,27,65,63,72,74,82,85,0
233,216354,A. Kramarić,ST,80,81,82,82,82,83,83,28,73,85,73,85,30,71,0
234,230294,Louri Beretta,ST,80,81,82,82,82,83,83,27,81,84,62,72,33,75,0
235,230375,Josué Chiamulera,DF,80,81,82,82,82,83,82,27,80,43,56,64,85,77,-1
236,230481,Ronaldo Cabrais,ED,80,81,82,82,82,83,83,27,87,77,83,84,35,72,0
237,230142,Oyarzabal,EI,80,81,82,82,82,82,81,22,75,82,79,83,39,61,-1
238,229906,L. Bailey,EI,80,81,82,82,82,82,82,21,91,77,75,84,33,64,0
239,230666,Gabriel Jesus,ST,80,81,82,82,82,82,82,22,85,80,72,86,39,71,0
240,207410,M. Kovačić,CM,80,81,82,82,82,82,82,25,76,68,81,86,67,70,0
241,208596,A. Belotti,ST,80,81,82,82,82,82,82,25,77,81,57,77,41,82,0
242,212151,T. Strakosha,GK,80,81,82,82,82,82,82,24,0,0,0,0,0,0,0
243,220971,N. Keïta,CM,80,81,82,82,82,82,82,24,71,73,76,88,65,66,0
244,223959,L. Torreira,CM,80,81,82,82,82,82,82,23,75,67,77,80,81,75,0
245,224293,Rúben Neves,CM,80,81,82,82,82,82,81,22,62,74,83,76,70,73,-1
246,225850,P. Kimpembe,DF,80,81,82,82,82,82,82,23,75,39,67,67,81,83,0
247,225953,S. Bergwijn,ED,80,81,82,82,82,82,82,21,89,75,76,85,40,73,0
248,226753,A. Onana,GK,80,81,82,82,82,82,82,23,0,0,0,0,0,0,0
249,227928,Nélson Semedo,LD,80,81,82,82,82,82,83,25,92,57,69,81,77,75,1
250,193105,A. Areola,GK,80,81,82,82,82,82,83,26,0,0,0,0,0,0,1
251,198009,M. Perin,GK,80,81,82,82,82,82,83,26,0,0,0,0,0,0,1
252,211320,D. Rugani,DF,80,81,82,82,82,82,82,24,64,39,55,64,85,74,0
253,214997,A. Correa,CD,80,81,82,82,82,82,82,24,83,80,75,86,54,65,0
254,216201,Iñaki Williams,ST,80,81,82,82,82,82,82,25,94,80,72,80,41,82,0
255,221992,H. Lozano,ED,80,81,82,82,82,82,82,23,93,76,73,83,41,66,0
256,227055,Gelson Martins,CD,80,81,82,82,82,82,82,24,95,71,74,86,47,61,0
257,200726,B. Lecomte,GK,80,81,82,82,82,82,82,28,0,0,0,0,0,0,0
258,209989,T. Partey,CM,80,81,82,82,82,82,82,26,73,72,77,77,79,84,0
259,211748,K. Demirbay,CM,80,81,82,82,82,82,82,25,67,74,82,84,64,70,0
260,197061,J. Matip,DF,80,81,82,82,82,82,82,27,61,46,68,67,83,76,0
261,202651,Suso,ED,80,81,82,82,82,82,82,25,78,76,83,87,33,53,0
262,204639,S. Savić,DF,80,81,82,82,82,82,82,28,55,35,54,56,84,72,0
263,205452,A. Rüdiger,DF,80,81,82,82,82,82,82,26,72,43,67,63,82,78,0
264,209960,Pacheco,GK,80,81,82,82,82,82,82,27,0,0,0,0,0,0,0
265,210243,Ricardo Pereira,LD,80,81,82,82,82,82,82,25,86,64,77,81,79,73,0
266,211256,N. Tagliafico,LI,80,81,82,82,82,82,82,26,81,57,72,76,80,81,0
267,223952,David Soria,GK,80,81,82,82,82,82,82,26,0,0,0,0,0,0,0
268,178750,Sergio Asenjo,GK,80,80,81,82,82,82,83,30,0,0,0,0,0,0,1
269,189575,Muniain,CM,80,80,81,82,82,82,82,26,80,72,77,87,51,58,0
270,192318,M. Götze,MP,80,80,81,82,82,82,84,27,71,78,85,86,56,70,2
271,193283,T. Delaney,CM,80,80,81,82,82,82,82,27,77,73,74,75,83,82,0
272,193698,O. Baumann,GK,80,80,81,82,82,82,82,29,0,0,0,0,0,0,0
273,195093,Willian José,ST,80,80,81,82,82,82,82,27,69,82,68,75,40,81,0
274,199564,Sergi Roberto,LD,80,80,81,82,82,82,82,27,78,63,81,78,77,73,0
275,200536,N. Schulz,LI,80,80,81,82,82,82,82,26,90,52,76,80,74,76,0
276,200610,K. Volland,ST,80,80,81,82,82,82,82,26,76,84,79,79,41,83,0
277,200724,Nacho Fernández,DF,80,80,81,82,82,82,83,29,74,37,66,64,81,79,1
278,201305,Gabriel Paulista,DF,80,80,81,82,82,82,82,28,71,49,69,65,83,81,0
279,202562,J. Roussillon,LI,80,80,81,82,82,82,82,26,89,65,76,80,78,78,0
280,203263,H. Maguire,DF,80,80,81,82,82,82,82,26,50,53,64,69,81,84,0
281,203486,T. Hazard,CD,80,80,81,82,82,82,82,26,82,77,80,86,47,64,0
282,208448,E. Forsberg,CM,80,80,81,82,82,82,82,27,70,71,81,83,33,62,0
283,208574,F. Kostić,CI,80,80,81,82,82,82,82,26,87,76,77,81,67,78,0
284,216409,M. Politano,CD,80,80,81,82,82,82,82,25,84,77,78,84,42,57,0
285,216547,Rafa,CI,80,80,81,82,82,82,82,26,93,71,74,86,50,52,0
286,24630,Pepe Reina,GK,80,80,81,82,82,82,82,36,0,0,0,0,0,0,0
287,53302,D. De Rossi,CM,80,80,81,82,82,82,82,35,59,64,73,69,85,77,0
288,106231,Aduriz,ST,80,80,81,82,82,82,83,38,61,82,64,75,49,74,1
289,146536,Jesús Navas,CD,79,80,81,82,82,82,82,33,87,69,77,83,69,53,0
290,146562,Santi Cazorla,CM,79,80,81,82,82,82,82,34,56,73,85,83,65,58,0
291,156519,H. Herrera,CM,79,80,81,82,82,82,82,29,72,75,75,76,78,81,0
292,158963,L. Biglia,CM,79,80,81,82,82,82,82,33,55,63,81,81,77,68,0
293,164835,L. Fabiański,GK,79,80,81,82,82,82,82,34,0,0,0,0,0,0,0
294,168354,E. Viviano,GK,79,80,81,82,82,82,82,33,0,0,0,0,0,0,0
295,178088,Juan Mata,CM,79,80,81,82,82,82,82,31,62,74,83,83,36,47,0
296,178509,O. Giroud,ST,79,80,81,82,82,82,82,32,46,81,71,72,42,79,0
297,179645,S. Kjær,DF,79,80,81,82,82,82,82,30,65,55,63,55,81,78,0
298,180403,Willian,ED,79,80,81,81,82,82,82,30,85,78,80,85,49,60,0
299,181786,V. Ćorluka,DF,79,80,81,81,82,82,81,33,58,49,65,67,81,82,-1
300,184200,M. Arnautović,ST,79,80,81,81,82,82,82,30,80,79,77,82,47,82,0
301,184941,A. Sánchez,EI,79,80,81,81,82,82,83,30,81,78,77,85,44,73,1
302,184942,Giuliano,CM,79,80,81,81,82,82,82,29,81,77,79,83,46,75,0
303,185103,A. Kolarov,LI,79,80,81,81,82,82,82,33,69,74,81,76,82,79,0
